user_language,q2,q3,q4,q5,q6,q8,q9,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q18,q19,q20,q21,q22,q23,q24,q25_1,q25_2,q25_3,q26,q27_1,q27_2,q27_3,q28,q29,q30,q31,q38,q45_1,fl_15_do,tolerant_engagement_forums_invitation_do,federalism_do
EN,Yes,Male,Yes,Urban,No,Oromia Region,Oromo,3,1,2,A few times a month,A few times a week,Every day,Every day,A few times a month,Never,Never,More than twice,Never,Once or Twice,Once or Twice,More than twice,Once or Twice,Once or Twice,Once or Twice,Never,Once or Twice,Not a member,Inactive member,Inactive member,Active member,Yes,NA,NA,NA,0,10,10,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with A,Disagree,Somewhat like,Somewhat like,Somewhat like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,10,Somewhat interested,2,FL_18,Q34,Q40|Q41|Q45
EN,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,3,2,1,Less than once a month,Less than once a month,Less than once a month,Every day,Less than once a month,More than 10 times,More than 10 times,More than twice,More than 10 times,More than 5 times,More than 5 times,Once or Twice,More than 10 times,Never,Never,More than twice,More than 5 times,Not a member,Active member,Active member,Active member,No,NA,NA,NA,0,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with neither,I agree with neither,I agree strongly with A,Neither agree nor disagree,Strongly like,Strongly like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",5,Very interested,2,FL_18,Q35,Q40|Q43|Q45
EN,Yes,Male,No,Rural,Yes,Oromia Region,Oromo,1,2,3,Less than once a month,A few times a week,Every day,Every day,Less than once a month,More than twice,Once or Twice,Once or Twice,More than 5 times,More than 5 times,More than 5 times,Once or Twice,More than twice,Once or Twice,More than twice,More than 5 times,Once or Twice,Active member,Inactive member,Inactive member,Not a member,NA,NA,NA,Yes,2,10,10,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree strongly with A,I agree with B,Agree,Strongly like,Somewhat like,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Other educational opportunities,5,Very interested,5,FL_17,Q35,Q40|Q43|Q45
EN,Yes,Male,Yes,Urban,Yes,Addis Ababa,Adere (Harari),1,2,3,Never,A few times a week,Never,Every day,Never,Never,Never,Never,More than twice,Never,More than 5 times,Never,Never,Never,Once or Twice,Never,Never,Active member,Not a member,Not a member,Not a member,NA,No,No,No,3,8,7,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree strongly with A,I agree strongly with B,Disagree,Somewhat like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,20,Very interested,6,FL_17,Q35,Q40|Q41|Q45
EN,Yes,Female,Yes,Urban,Yes,Addis Ababa,Oromo,1,2,3,Less than once a month,A few times a week,Every day,A few times a week,Never,More than twice,Once or Twice,Never,Once or Twice,Never,More than 5 times,Never,More than 10 times,Never,Once or Twice,Once or Twice,Once or Twice,Active member,Not a member,Not a member,Not a member,NA,No,No,Yes,1,10,10,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Agree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",8,Very interested,7,FL_18,Q34,Q40|Q42|Q45
EN,Yes,Male,No,Rural,Yes,Amhara Region,Amhara,1,3,2,A few times a week,Less than once a month,A few times a month,Every day,Less than once a month,More than twice,Once or Twice,Never,Once or Twice,Never,Once or Twice,Never,Once or Twice,Once or Twice,More than twice,More than twice,More than 5 times,Not a member,Not a member,Not a member,Inactive member,No,Yes,No,NA,1,8,8,Strongly disagree,I agree with B,I agree strongly with A,I agree strongly with B,I agree with A,I agree with A,Agree,Somewhat like,Somewhat like,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,3,Very interested,7,FL_17,Q35,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Sidama Region,Prefer not to say,1,2,3,Never,A few times a week,Never,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or Twice,Once or Twice,Not a member,Not a member,Not a member,Not a member,Yes,No,No,No,4,6,0,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree with neither,I agree with neither,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,70,Very interested,5,FL_18,Q34,Q40|Q44|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Amhara,1,3,2,A few times a week,A few times a week,A few times a week,A few times a month,Never,Never,Never,Never,Once or Twice,Never,Never,Never,Never,Never,Never,Never,Never,Active member,Active member,Not a member,Not a member,NA,NA,No,Yes,0,10,6,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree with neither,I agree strongly with B,Neither agree nor disagree,Somewhat like,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Other educational opportunities,Proximity to family",25,Very interested,8,FL_17,Q37,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Oromia Region,"Oromo,Other",1,2,3,Less than once a month,A few times a week,Every day,Every day,Never,Once or Twice,Never,Never,Once or Twice,Once or Twice,Never,Never,More than 5 times,More than twice,More than 10 times,More than 10 times,More than 5 times,Active member,Not a member,Inactive member,Active member,NA,No,NA,NA,5,10,7,Somewhat disagree,I agree with B,I agree with A,I agree strongly with B,I agree strongly with A,I agree with B,Agree,Neither like nor dislike,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,50,Very interested,7,FL_18,Q37,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,A few times a week,Every day,Every day,Every day,Never,Once or Twice,Never,Never,Once or Twice,Never,Never,Never,Never,Once or Twice,Never,Once or Twice,Once or Twice,Not a member,Not a member,Not a member,Inactive member,No,Yes,No,NA,0,5,0,Neither agree nor disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree strongly with B,I agree strongly with B,Neither agree nor disagree,Strongly like,Somewhat like,Strongly like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,Proximity to family,30,Somewhat interested,5,FL_18,Q34,Q40|Q43|Q45
EN,Yes,Male,No,Urban,Yes,Addis Ababa,Prefer not to say,1,2,3,Less than once a month,A few times a week,Less than once a month,Every day,Never,Never,Never,Never,Never,Never,Never,Never,More than twice,Never,Never,More than 5 times,More than twice,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,0,10,7,Somewhat agree,I agree with A,I agree with neither,I agree strongly with A,I agree strongly with A,I agree strongly with B,Neither agree nor disagree,Somewhat like,Neither like nor dislike,Neither like nor dislike,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",10,Very interested,5,FL_18,Q36,Q40|Q42|Q45
EN,Yes,Male,No,Urban,Yes,"Southern Nations, Nationalities, and Peoples Region",Welayta,1,2,3,Less than once a month,A few times a week,Less than once a month,Every day,Never,Once or Twice,Never,Once or Twice,Once or Twice,Never,Never,Never,Never,More than 10 times,More than 10 times,More than 10 times,Never,Not a member,Not a member,Not a member,Active member,No,Yes,No,NA,2,6,9,Strongly disagree,I agree with B,I agree with A,I agree strongly with B,I agree with A,I agree with B,Neither agree nor disagree,Somewhat like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, I plan to move back to my home region",Other,NA,5,Very interested,5,FL_17,Q34,Q40|Q41|Q45
EN,Yes,Male,No,Urban,Yes,Amhara Region,Amhara,3,2,NA,Less than once a month,A few times a week,A few times a week,Every day,Less than once a month,Once or Twice,Once or Twice,Never,Once or Twice,Never,Never,Never,More than 5 times,Never,Never,Once or Twice,More than 5 times,Inactive member,Inactive member,Prefer not to say,Inactive member,NA,NA,No,NA,3,9,3,Strongly agree,I agree with B,I agree with A,I agree with A,I agree with B,I agree strongly with B,Agree,Somewhat like,Somewhat like,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",1,Somewhat interested,10,FL_18,Q36,Q40|Q43|Q45
EN,Yes,Female,No,Urban,Yes,Oromia Region,"Guragie,Oromo",1,3,2,A few times a week,Never,Never,Every day,Never,Never,Never,Once or Twice,More than twice,Never,Once or Twice,Once or Twice,More than 5 times,More than 10 times,More than 10 times,Never,More than 10 times,Inactive member,Not a member,Not a member,Active member,NA,No,No,NA,1,10,4,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree with neither,Neither agree nor disagree,Somewhat like,Somewhat like,Neither like nor dislike,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it","Yes, I plan to move to another region","Job opportunities,Other educational opportunities,Other",NA,5,Very interested,5,FL_17,Q37,Q40|Q44|Q45
EN,Yes,Female,Yes,Urban,Yes,Addis Ababa,Guragie,1,2,3,A few times a week,A few times a week,Never,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once or Twice,Never,Not a member,Not a member,Not a member,Inactive member,No,No,No,NA,2,8,9,Strongly disagree,I agree with B,I agree with A,I agree with B,I agree with A,I agree with B,Neither agree nor disagree,Somewhat like,Somewhat like,Somewhat like,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,17,Very interested,4,FL_17,Q35,Q40|Q42|Q45
EN,Yes,Male,No,Rural,Yes,Oromia Region,Oromo,2,3,1,Less than once a month,A few times a month,Every day,Every day,Never,More than 5 times,More than 5 times,More than twice,Never,Never,Never,Never,More than 10 times,Never,Never,Never,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,1,10,10,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree with A,I agree with A,Strongly disagree,Strongly like,Neither like nor dislike,Strongly like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities",12,Very interested,5,FL_17,Q34,Q40|Q43|Q45
EN,Yes,Male,Yes,Urban,Yes,Oromia Region,"Gamo,Kaffa",1,NA,NA,Every day,A few times a month,A few times a week,Every day,A few times a week,More than twice,More than 10 times,More than 10 times,More than 5 times,More than twice,Once or Twice,More than twice,Never,Never,Once or Twice,Never,Never,Active member,Active member,Active member,Active member,NA,NA,NA,NA,7,10,10,Somewhat agree,I agree with B,I agree with A,I agree strongly with A,I agree with B,I agree with A,NA,Somewhat dislike,Somewhat dislike,NA,NA,"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,NA,Very interested,10,FL_18,Q36,Q40|Q41|Q45
EN,Yes,Male,Yes,Rural,Yes,Oromia Region,Oromo,1,3,2,Less than once a month,A few times a week,Every day,Every day,Never,More than twice,Never,Once or Twice,Once or Twice,More than twice,More than twice,Never,More than twice,Never,Never,Once or Twice,More than twice,Active member,Not a member,Not a member,Not a member,NA,No,No,Yes,3,9,9,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree with B,I agree strongly with A,I agree with A,Agree,Strongly like,Somewhat like,Somewhat like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Proximity to family",10,Very interested,5,FL_17,Q35,Q40|Q42|Q45
EN,Yes,Male,Yes,Urban,Yes,Addis Ababa,Amhara,3,NA,1,NA,NA,NA,NA,NA,Once or Twice,More than twice,Once or Twice,More than 10 times,More than 5 times,Once or Twice,More than 5 times,More than twice,More than 5 times,More than twice,More than twice,Once or Twice,Active member,Inactive member,Not a member,Inactive member,NA,NA,No,NA,5,5,7,Strongly agree,I agree with B,I agree with A,I agree with neither,I agree with neither,I agree with A,Agree,Neither like nor dislike,Somewhat dislike,Somewhat like,Politics (pursuing elected office or working for a campaign or political party),"Yes, it has crossed my mind","No, I have not thought about it","No, I have not thought about it","No, I plan to stay in Addis",NA,Job opportunities,5,Very interested,9,FL_17,Q34,Q40|Q44|Q45
EN,Yes,Male,Yes,Urban,Yes,Oromia Region,Oromo,2,1,3,Less than once a month,A few times a month,Never,A few times a week,Never,Never,Never,Once or Twice,Once or Twice,Never,Once or Twice,Never,More than twice,Never,Once or Twice,More than twice,More than twice,Not a member,Not a member,Not a member,Inactive member,No,No,No,NA,1,10,2,Neither agree nor disagree,I agree with B,I agree with neither,I agree with A,I agree with neither,I agree with A,Agree,Somewhat like,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,2,Very interested,10,FL_17,Q37,Q40|Q42|Q45
